,phi_1,phi_2,phi_3,phi_4
131,0.014496675096435064,0.2822148182126474,0.5255146704944558,0.7977367449132039
132,0.01469301134265978,0.2858339675076866,0.5313729277396405,0.8044606542568573
133,0.014892332150002102,0.28950029507402897,0.5372792873497613,0.8111920572064627
134,0.015094718036478954,0.2932148482044153,0.5432342776743417,0.8179307506709034
135,0.01530025229922554,0.2969787008580762,0.549238425407346,0.8246765267013138
136,0.015509021137237912,0.30079295443380394,0.5552922552120501,0.8314291725380241
137,0.015721113780648607,0.3046587385642245,0.5613962893283831,0.8381884706608259
138,0.01593662262694531,0.3085772119315767,0.5675510471623074,0.8449541988425657
139,0.016155643384571768,0.31254956310526927,0.5737570448568164,0.8517261302060687
140,0.016378275224382594,0.31657701140145184,0.5800147948441433,0.8585040332843912
141,0.016604620939458,0.32066080776479217,0.5863248053787842,0.8652876720843945
142,0.016834787113822365,0.32480223567260275,0.5926875800509627,0.8720768061536335
143,0.01706888430065109,0.3290026120614022,0.5991036172801775,0.8788711906505374
144,0.017307027210594704,0.33326328827593366,0.605573409788499,0.8856705764178726
145,0.017549334910897014,0.33758565104058963,0.6120974440533107,0.8924747100594562
146,0.01779593103603654,0.3419711234531071,0.6186761997392108,0.8992833340200955
147,0.018046944010677034,0.34642116600030676,0.6253101491088325,0.9060961866687177
148,0.01830250728577508,0.3509372775955439,0.6319997564123688,0.9129130023846547
149,0.018562759588759716,0.35552099663741976,0.6387454772556311,0.9197335116470368
150,0.018827845188772965,0.36017390208917305,0.6455477579465134,0.9265574411272517
151,0.019097914178039754,0.3648976145780212,0.6524070348197797,0.9333845137844139
152,0.01937312277052379,0.3696937975135602,0.659323733540146,0.9402144489637893
153,0.01965363361912127,0.37456415822414707,0.6662982683836809,0.947046962498113
154,0.019939616152749095,0.37951044910998843,0.6733310414976117,0.9538817668117374
155,0.02023124693479901,0.3845344688114327,0.6804224421386841,0.9607185710275343
156,0.020528710044554484,0.38963806339071727,0.6875728458902974,0.9675570810764836
157,0.02083219748330529,0.39482312752514453,0.694782613858706,0.974396999809864
158,0.021141909607045862,0.4000916057093611,0.7020520918486605,0.9812380271139652
159,0.021458055587810023,0.40544549346407716,0.709381609518943,0.9880798600272334
160,0.021780853905877758,0.4108868385481992,0.7167714795183433,0.9949221928597578
161,0.022110532875291303,0.4164177421709412,0.7242219966027094,1.0017647173150053
162,0.02244733120534026,0.4220403602000395,0.7317334367338123,1.0086071226137001
163,0.02279149860092073,0.4277569043617096,0.7393060561608636,1.015449095619749
164,0.023143296404944894,0.4335696434274493,0.7469400904856313,1.0222903209681042
165,0.02350299828627712,0.4394809043822134,0.7546357537122153,1.029130481194454
166,0.023870890977005333,0.44549307356784884,0.7623932372826601,1.0359692568666279
167,0.02424727506322441,0.451608597794987,0.7702127090996994,1.0428063267176024
168,0.02463246583391764,0.45782998541583736,0.7780943125380615,1.0496413677799872
169,0.025026794192976536,0.46415980734950407,0.7860381654458783,1.0564740555218681
170,0.025430607639905494,0.47060069805056653,0.7940443591378927,1.0633040639838893
171,0.02584427132532114,0.4771553564106892,0.8021129573822714,1.0701310659174408
172,0.02626816918798543,0.4838265465819995,0.8102439953829875,1.076954732923831
173,0.026702705180814017,0.4906170987098357,0.8184374787598605,1.0837747355943095
174,0.027148304594087843,0.4975299095612643,0.8266933825284899,1.0905907436508102
175,0.027605415484976473,0.5045679430344596,0.8350116500824559,1.0974024260872837
176,0.028074510223470312,0.511734230532646,0.843392192180299,1.1042094513114826
177,0.028556087165929136,0.5190318711848042,0.851834885939932,1.1110114872870687
178,0.029050672468704533,0.5264640318937555,0.8603395738432711,1.1178082016759037
179,0.029558822055702302,0.5340339471905321,0.8689060627540085,1.124599261980391
180,0.03008112375534183,0.5417449188721526,0.8775341229515772,1.1313843356857303
181,0.030618199624167772,0.5496003153980106,0.8862234871844826,1.1381630904019524
182,0.031170708476407186,0.5576035710180886,0.8949738497462951,1.144935194005597
183,0.0317393486410772,0.5657581846041045,0.9037848655777059,1.1517003147809008
184,0.032324860970876855,0.5740677181525122,0.9126561493981523,1.1584581215603622
185,0.032928032130090296,0.582535794926001,0.9215872748706111,1.1652082838645474
186,0.033549698192144234,0.5911660971977987,0.9305777738032349,1.171950472041013
187,0.03419074858136836,0.5999623635606841,0.9396271353915853,1.1786843574022088
188,0.03485213039798095,0.6089283857601757,0.9487348055052551,1.1854096123622386
